규정명,조항,제목,본문,키워드
공연장 대관 규정,제4조-4,대관의 종류 — 기타 대관,"기타 대관: 공연 목적 이외의 방송, 영화, CF, 음반제작등 상기 1, 2, 3 각호에 해당 하지 않는 대관
(공연장 대관 규정 제4조 대관의 종류 제4호)","대관의,종류,기타,대관,공연,목적,이외의,방송,영화,CF,음반제작등,상기,각호에,해당,하지,않는"
공연장 대관 규정,제5조,대관공고,"① 예울마루는 정기대관 및 수시대관 일정이 정해지면 예울마루 홈페이지에 대관 접수 
공고문을 게시하는 것을 원칙으로 한다. 단, 필요에 따라 일간지 등 다른 매체를 통
해서도 공고할 수 있다.
② 정기대관은 40일 이상, 수시대관은 14일 이상 공고한다. 단, 부득이한 경우 공고기
간을 조정할 수 있다.",대관공고
공연장 대관 규정,제6조,대관신청,"① 예울마루를 사용하고자 하는 자는 공연장대관신청서와 공연계획서를 제출하여야 하며, 
예울마루가 추가 자료를 요청할 경우 이에 성실히 응해야 한다.
② 부속시설 대관신청 등은 소정의 양식(별지서식)을 별도 제출한다.
③ 신청방법은 온라인 예약시스템 신청을 원칙으로 하되, 보완 수단으로 이메일, 우편, 
방문 등의 방법으로 신청할 수 있다. 단, 온라인 예약시스템 접수는 예약시스템 
구축 시까지 유예한다.
④ 공연 대관은 대관하고자 하는 날로부터 30일 전까지 신청하여야 한다.
⑤ 부대시설 대관은 수시 신청할 수 있다.
⑥ 공연장의 원활한 운영을 위하여 기간이 촉박한 대관의 경우 신청을 받지 아니 할 수 
있다.
⑦ 예울마루와 협의 된 경우 신청기간에 제한을 받지 아니한다.",대관신청
공연장 대관 규정,제7조,대관신청 제한,"다음 각 호에 해당되는 경우 대관 신청을 제한한다.
 1. 공익을 해하거나 사회적 통념을 위한하는 내용으로 공연하려는 단체
 2. 시설이나 설비를 심각히 훼손할 우려가 있는 공연이나 단체
 3. 특정 종교 및 정치 홍보를 목적으로 공연하려는 단체
 4. 공연의 내용, 수준이 예울마루가 수용하기에 부적합하다고 판단되는 단체
 5. 이전 공연에서 공연장 질서를 위반하거나 수준이 현저하게 떨어진 작품을 공연한 단체
 6. 예울마루가 정한 규정을 위반한 단체

 7. 입장권 검인을 거부한 단체
 8. 유보석 제출을 거부한 단체
 9. 홍보물 규정을 위반한 단체
 10. 입장 연령 규정을 거부하거나 적극적으로 고지하지 않은 단체
 11. 좌석을 초과하여 입장권을 판매하거나 초대권을 남발하여 관객의 안전을 위협하고 
혼란을 초래한 단체 
 12. 유치원, 초·중·고등학교 학생 개인 및 학교(단, 지역영재발굴을 위한 공연 및 예술
전공 중·고등학교 가능)
 13. 홍보를 목적으로 하는 공연 및 행사","대관신청,제한"
공연장 대관 규정,제7조-1,대관신청 제한 — 공익을 해하거나 사회적 통념을 위한하는 내용으로 공,"공익을 해하거나 사회적 통념을 위한하는 내용으로 공연하려는 단체
(공연장 대관 규정 제7조 대관신청 제한 제1호)","대관신청,제한,공익을,해하거나,사회적,통념을,위한하는,내용으로,공연하려는,단체"
공연장 대관 규정,제7조-2,대관신청 제한 — 시설이나 설비를 심각히 훼손할 우려가 있는 공연이나,"시설이나 설비를 심각히 훼손할 우려가 있는 공연이나 단체
(공연장 대관 규정 제7조 대관신청 제한 제2호)","대관신청,제한,시설이나,설비를,심각히,훼손할,우려가,있는,공연이나,단체"
공연장 대관 규정,제7조-3,대관신청 제한 — 특정 종교 및 정치 홍보를 목적으로 공연하려는 단체,"특정 종교 및 정치 홍보를 목적으로 공연하려는 단체
(공연장 대관 규정 제7조 대관신청 제한 제3호)","대관신청,제한,특정,종교,정치,홍보를,목적으로,공연하려는,단체"
공연장 대관 규정,제7조-4,"대관신청 제한 — 공연의 내용, 수준이 예울마루가 수용하기에 부적합하","공연의 내용, 수준이 예울마루가 수용하기에 부적합하다고 판단되는 단체
(공연장 대관 규정 제7조 대관신청 제한 제4호)","대관신청,제한,공연의,내용,수준이,예울마루가,수용하기에,부적합하다고,판단되는,단체"
공연장 대관 규정,제7조-5,대관신청 제한 — 이전 공연에서 공연장 질서를 위반하거나 수준이 현저,"이전 공연에서 공연장 질서를 위반하거나 수준이 현저하게 떨어진 작품을 공연한 단체
(공연장 대관 규정 제7조 대관신청 제한 제5호)","대관신청,제한,이전,공연에서,공연장,질서를,위반하거나,수준이,현저하게,떨어진,작품을,공연한,단체"
공연장 대관 규정,제7조-6,대관신청 제한 — 예울마루가 정한 규정을 위반한 단체,"예울마루가 정한 규정을 위반한 단체
(공연장 대관 규정 제7조 대관신청 제한 제6호)","대관신청,제한,예울마루가,정한,규정을,위반한,단체"
공연장 대관 규정,제7조-7,대관신청 제한 — 입장권 검인을 거부한 단체,"입장권 검인을 거부한 단체
(공연장 대관 규정 제7조 대관신청 제한 제7호)","대관신청,제한,입장권,검인을,거부한,단체"
공연장 대관 규정,제7조-8,대관신청 제한 — 유보석 제출을 거부한 단체,"유보석 제출을 거부한 단체
(공연장 대관 규정 제7조 대관신청 제한 제8호)","대관신청,제한,유보석,제출을,거부한,단체"
공연장 대관 규정,제7조-9,대관신청 제한 — 홍보물 규정을 위반한 단체,"홍보물 규정을 위반한 단체
(공연장 대관 규정 제7조 대관신청 제한 제9호)","대관신청,제한,홍보물,규정을,위반한,단체"
공연장 대관 규정,제7조-10,대관신청 제한 — 입장 연령 규정을 거부하거나 적극적으로 고지하지 않,"입장 연령 규정을 거부하거나 적극적으로 고지하지 않은 단체
(공연장 대관 규정 제7조 대관신청 제한 제10호)","대관신청,제한,입장,연령,규정을,거부하거나,적극적으로,고지하지,않은,단체"
공연장 대관 규정,제7조-11,대관신청 제한 — 좌석을 초과하여 입장권을 판매하거나 초대권을 남발하,"좌석을 초과하여 입장권을 판매하거나 초대권을 남발하여 관객의 안전을 위협하고 혼란을 초래한 단체
(공연장 대관 규정 제7조 대관신청 제한 제11호)","대관신청,제한,좌석을,초과하여,입장권을,판매하거나,초대권을,남발하여,관객의,안전을,위협하고,혼란을,초래한,단체"
공연장 대관 규정,제7조-12,"대관신청 제한 — 유치원, 초·중·고등학교 학생 개인 및 학교(단,","유치원, 초·중·고등학교 학생 개인 및 학교(단, 지역영재발굴을 위한 공연 및 예술 전공 중·고등학교 가능)
(공연장 대관 규정 제7조 대관신청 제한 제12호)","대관신청,제한,유치원,고등학교,학생,개인,학교,지역영재발굴을,위한,공연,예술,전공,가능"
공연장 대관 규정,제7조-13,대관신청 제한 — 홍보를 목적으로 하는 공연 및 행사,"홍보를 목적으로 하는 공연 및 행사
(공연장 대관 규정 제7조 대관신청 제한 제13호)","대관신청,제한,홍보를,목적으로,하는,공연,행사"
공연장 대관 규정,제8조,대관심의,"①예울마루는 대관 심의의 공정성을 기하기 위하여 대관심의위원회(이하 “심의위원
회”)를 별도로 구성하여 대관신청을 심의한다. 단, 정기대관 이외의 수시 대관 등은 
경합이 없을 경우 심의위원회를 거치지 아니하고 공연 일정 및 예울마루의 사정을 
감안하여 담당 팀장과 관장이 결정한다. 수시대관일 경우라도 경합이 있을 경우 정
기대관에 준하여 심의한다. 
②심의위원회는 예울마루 내부인(관장, 팀장)과 외부인(문화예술분야에 대한 전문지식과 
경험이 풍부한 사람)으로 최소 5인 이상 구성하고 외부인을 50% 이상으로 하며, 
위원장은 예울마루 관장으로 한다.
③심의위원회의 심의 시 다음의 각 호에 해당할 경우 우선할 수 있다.
  1. 지역의 문화예술 발전과 국제화에 이바지할 수 있는 경우
  2. 정기적인 문화예술 활동 실적이 많은 신청인의 경우
  3. 해당 공연 실적, 출연자의 이력, 매스컴의 평가 등으로 판단하여 품질이 우수한 공
연의 경우
  4. 예울마루의 위상 격상에 도움이 되는 공연으로 판단되는 경우
  5. 신진 예술가, 단체나 사회적 약자가 신청할 경우
④ 위원회 회의는 재적위원 3분의 2 이상의 출석으로 개회하고 출석위원 과반수의 찬성
으로 의결하며 위원회의 운영에 필요한 그 밖의 사항은 위원회에서 정한다.
⑤ 위원이 다음 각 호의 어느 하나에 해당하는 경우 에는 위원회의 심의·의결에서 제척
된다.
  1. 심의 대상과 관련하여 이해당사자이거나 이해 당사기관의 소속된 자인 경우
  2. 위원이 해당 사안의 신청인과 친족관계에 있거나 있었던 경우
  3. 기타 공정한 심의를 수행할 수 없다고 판단될 경우
⑥ 해당 안건의 당사자는 위원에게 공정한 심의·의결을 기대하기 어려운 사정이 있는 
경우에는 위원회에 기피 신청을 할 수 있고, 위원회는 이를 결정한다. 이 경우 기피
신청의 대상인 위원은 그 의결에 참여하지 못한다.
⑦ 위원이 제5항 각 호에 따른 제척사유에 해당하는 경우에는 스스로 해당 안건의 심의·
의결에서 회피 하여야 한다.
⑧ 위원이 제5항 각 호의 어느 하나에 해당하는 데 에도 불구하고 회피하지 아니한 경우 
위원회의 의결을 거쳐 해촉할 수 있다.

⑨ 외부인이 심의위원회에 참석하는 경우 교통비 등 소정의 비용을 지급할 수 있다.
⑩ 심의 시 회의록을 작성하여 보관하며, 심의 결과는 공개한다.",대관심의
공연장 대관 규정,제8조-1,대관심의 — 지역의 문화예술 발전과 국제화에 이바지할 수 있는,"지역의 문화예술 발전과 국제화에 이바지할 수 있는 경우
(공연장 대관 규정 제8조 대관심의 제1호)","대관심의,지역의,문화예술,발전과,국제화에,이바지할,있는,경우"
공연장 대관 규정,제8조-2,대관심의 — 정기적인 문화예술 활동 실적이 많은 신청인의 경우,"정기적인 문화예술 활동 실적이 많은 신청인의 경우
(공연장 대관 규정 제8조 대관심의 제2호)","대관심의,정기적인,문화예술,활동,실적이,많은,신청인의,경우"
공연장 대관 규정,제8조-3,"대관심의 — 해당 공연 실적, 출연자의 이력, 매스컴의 평가 등","해당 공연 실적, 출연자의 이력, 매스컴의 평가 등으로 판단하여 품질이 우수한 공 연의 경우
(공연장 대관 규정 제8조 대관심의 제3호)","대관심의,해당,공연,실적,출연자의,이력,매스컴의,평가,등으로,판단하여,품질이,우수한,연의,경우"
공연장 대관 규정,제8조-4,대관심의 — 예울마루의 위상 격상에 도움이 되는 공연으로 판단되,"예울마루의 위상 격상에 도움이 되는 공연으로 판단되는 경우
(공연장 대관 규정 제8조 대관심의 제4호)","대관심의,예울마루의,위상,격상에,도움이,되는,공연으로,판단되는,경우"
공연장 대관 규정,제8조-5,"대관심의 — 신진 예술가, 단체나 사회적 약자가 신청할 경우","신진 예술가, 단체나 사회적 약자가 신청할 경우
(공연장 대관 규정 제8조 대관심의 제5호)","대관심의,신진,예술가,단체나,사회적,약자가,신청할,경우"
공연장 대관 규정,제8조-1,대관심의 — 심의 대상과 관련하여 이해당사자이거나 이해 당사기관,"심의 대상과 관련하여 이해당사자이거나 이해 당사기관의 소속된 자인 경우
(공연장 대관 규정 제8조 대관심의 제1호)","대관심의,심의,대상과,관련하여,이해당사자이거나,이해,당사기관의,소속된,자인,경우"
공연장 대관 규정,제8조-2,대관심의 — 위원이 해당 사안의 신청인과 친족관계에 있거나 있었,"위원이 해당 사안의 신청인과 친족관계에 있거나 있었던 경우
(공연장 대관 규정 제8조 대관심의 제2호)","대관심의,위원이,해당,사안의,신청인과,친족관계에,있거나,있었던,경우"
공연장 대관 규정,제8조-3,대관심의 — 기타 공정한 심의를 수행할 수 없다고 판단될 경우,"기타 공정한 심의를 수행할 수 없다고 판단될 경우
(공연장 대관 규정 제8조 대관심의 제3호)","대관심의,기타,공정한,심의를,수행할,없다고,판단될,경우"
공연장 대관 규정,제9조,대관승인,"①정기대관은 신청 접수 마감 후 30일 이내에 심의위원회를 구성하여 심의하고 승인 
가부를 서면 통보한다. 
②수시 대관은 신청 접수 후 담당팀장과 관장의 결정에 따라 15일 이내 승인 가부를 
서면 통보한다.
③대관승인을 받은 자는 대관승인 통보 시 명시된 일자까지 예울마루와 계약을 체결한다.
④정부나 공공 기관의 문화예술분야 지원보조금을 받아 시행예정인 단체의 대관신청은 
해당 보조금 사업이 확정될 때까지 대관승인을 유보할 수 있다. 
⑤예울마루는 대관을 승인함에 있어 조정이 필요하다고 판단될 때는 대관일수나 
내용을 대관자와 협의하여 조정할 수 있다.
⑥대관신청자는 예울마루가 요구하는 준비 및 철수 대관에 대한 최소한의 일정을 
확보해야 하며, 이에 동의하지 않을 경우, 대관 승인이 불가 또는 취소될 수 있다.",대관승인
공연장 대관 규정,제10조,대관 승인 취소,"다음 각호의 경우 예울마루는 대관 승인을 취소할 수 있으며 기 납부된 대관료의 반환
은 제14조를 준용한다.
  1. 대관 승인 후 대관 신청서의 기재 사실이 허위로 밝혀진 경우
  2. 예울마루가 정한 기일 내에 계약금 또는 잔금을 납부하지 않은 경우
  3. 예울마루 승인 없이 입장권 또는 교환권을 발행한 경우
  4. 대관 사용권을 타인에게 양도 또는 전대한 경우
  5. 제11조(대관계약체결)에 준하는 계약체결을 하지 않은 경우. 단, 계약지연 사유를 
제출하여 예울마루의 승인을 받은 경우 예외로 한다.","대관,승인,취소"
공연장 대관 규정,제10조-1,대관 승인 취소 — 대관 승인 후 대관 신청서의 기재 사실이 허위로 밝,"대관 승인 후 대관 신청서의 기재 사실이 허위로 밝혀진 경우
(공연장 대관 규정 제10조 대관 승인 취소 제1호)","대관,승인,취소,신청서의,기재,사실이,허위로,밝혀진,경우"
공연장 대관 규정,제10조-2,대관 승인 취소 — 예울마루가 정한 기일 내에 계약금 또는 잔금을 납부,"예울마루가 정한 기일 내에 계약금 또는 잔금을 납부하지 않은 경우
(공연장 대관 규정 제10조 대관 승인 취소 제2호)","대관,승인,취소,예울마루가,정한,기일,내에,계약금,또는,잔금을,납부하지,않은,경우"
공연장 대관 규정,제10조-3,대관 승인 취소 — 예울마루 승인 없이 입장권 또는 교환권을 발행한 경,"예울마루 승인 없이 입장권 또는 교환권을 발행한 경우
(공연장 대관 규정 제10조 대관 승인 취소 제3호)","대관,승인,취소,예울마루,없이,입장권,또는,교환권을,발행한,경우"
공연장 대관 규정,제10조-4,대관 승인 취소 — 대관 사용권을 타인에게 양도 또는 전대한 경우,"대관 사용권을 타인에게 양도 또는 전대한 경우
(공연장 대관 규정 제10조 대관 승인 취소 제4호)","대관,승인,취소,사용권을,타인에게,양도,또는,전대한,경우"
공연장 대관 규정,제10조-5,대관 승인 취소 — 제11조(대관계약체결)에 준하는 계약체결을 하지 않,"제11조(대관계약체결)에 준하는 계약체결을 하지 않은 경우. 단, 계약지연 사유를 제출하여 예울마루의 승인을 받은 경우 예외로 한다.
(공연장 대관 규정 제10조 대관 승인 취소 제5호)","대관,승인,취소,제11조,대관계약체결,준하는,계약체결을,하지,않은,경우,계약지연,사유를,제출하여,예울마루의,승인을"
공연장 대관 규정,제11조,대관 계약 체결,"대관 승인을 받은 신청자는 대관 승인 후 30일 이내에 계약금을 납부한 후 대관 계약을 
체결하여야 한다. 단, 대관 승인일로부터 사용예정일까지의 기간이 30일 이내의 경우에
는 대관 승인 후 5일 이내에 대관 계약을 체결하여야 한다.","대관,계약,체결"
공연장 대관 규정,제12조,대관료의 결정,"①대관료는 여수시 GS칼텍스 예울마루 관리·운영 조례에 의한다.
②대관료는 [망마]편 또는 [장도]편의 사용료 규정을 따른다. 단, 이에 명시되지 않은 
부대장비 사용에 의한 사용료는 대관자와 예울마루가 상호 협의하여 별도로 정한다.","대관료의,결정"
공연장 대관 규정,제13조,대관료의 납부,"①대관료는 예울마루가 지정하는 은행에 납부하여야 한다.
②대관자는 계약 체결 시 계약금으로 기본대관료를 10%를 납부하고, 잔금은 사용예정일 
30일 전까지 납부하여야 한다. 단, 기한 내 납부가 불가할 경우 예울마루의 승인을 
받아 예외로 할 수 있다. 
③ 정기대관 외 수시대관이나 기타대관 등으로 사용예정일까지 30일 이내일 경우 승인
통보를 받은 날로부터 5일 이내 대관료 전액을 납부하여야 한다.
④ 공연준비대관 시작일 이전에 발생하는 추가 대관료는 사용 예정일 최소 1주일 전까지 
납부하여야 한다. 단, 추가대관 신청일로부터 사용 예정일이 일주일 이내인 경우 신청 
후 즉시 대관료를 납부하여야 한다.
⑤ 대관 기간 중 추가되는 부대설비 사용료의 경우 사용 종료 후 10일 이내에 납부하
여야 한다.
⑥ 시설과 부대설비사용에 있어 사전에 승인되지 않은 부분을 대관자가 임의로 사용할 
경우, 이에 대하여 추가신청이 있었던 것으로 간주하여 대관료를 부과하며, 부과된 
대관료는 청구 후 10일 이내 납부하여야 한다. 
⑦ 대관료 납부 시 필요한 경우 예울마루와 협의 후 원단위는 절삭할 수 있다.
⑧ 예울마루는 대관자에게 총 대관료를 보증하는 ‘보증보험증권’을 요구할 수 있다.
⑨ 계약체결 전 사전에 납입된 계약금은 계약체결의 적극의사로 간주하여 입금일자에 
계약체결 한 것과 같은 효력을 가진다.","대관료의,납부"
공연장 대관 규정,제14조,대관료의 반환,"① 대관자가 이미 납부한 대관료는 사용예정일 30일 전에 취소하는 경우 기본대관료 
전액을 반환하고, 사용예정일 29일~전일까지 취소하는 경우 기본 대관료의 10%를 
공제한 나머지를 반환한다.
② 사용개시일 이후에 취소 또는 중단하는 경우에는 총 기본대관료의 10%와 사용일수
만큼 일할 계산한 금액을 공제한 나머지를 반환한다.
③ 천재지변, 국가 재난에 해당하는 불가항력의 사유로 사용이 불가능할 때에는 납부한 
대관료는 전액 반환한다.
④ 예울마루의 귀책사유로 인하여 대관 사용이 불가능한 경우 납부한 대관료는 전액 
반환한다.","대관료의,반환"
공연장 대관 규정,제15조,대관료 감면,"①대관료 감면은 기본대관료에 한하며, 보조인력비, 부속시설사용료, 부대시설사용료, 
부대장비사용료 등은 납부하여야 한다. 
②다음의 각 호에 해당하는 경우에는 기본대관료의 100%를 감면할 수 있다.
1.여수시가 주최(주관)하는 비영리 목적의 예술공연 
2.GS칼텍스재단이 주최(주관)하는 비영리 목적의 예술공연 
3. 국가 또는 전라남도가 주최(주관)하는 비영리 목적의 예술공연
4. 시예산으로 운영되는 여수시립예술단의 예술공연
③ 다음의 각  호에 해당하는 경우에는 기본대관료의 50%를 감면할 수 있다.
 1. 여수시의 문화예술 보조금을 받은 비영리 목적의 예술공연 

 2. GS칼텍스재단이 후원(협찬)하는 비영리 목적의 예술공연 
 3. 국가 또는 전라남도의 문화예술 보조금을 받은 비영리 목적의 예술공연
④ GS칼텍스 예울마루와 별도의 협약(MOU) 등 체결된 경우 그에 따른다.
⑤ 천재지변, 재난 및 기타 불가항력에 의한 경우 대관료를 감면할 수 있다.","대관료,감면"
공연장 대관 규정,제15조-1,대관료 감면 — 여수시가 주최(주관)하는 비영리 목적의 예술공연,"여수시가 주최(주관)하는 비영리 목적의 예술공연
(공연장 대관 규정 제15조 대관료 감면 제1호)","대관료,감면,여수시가,주최,주관,하는,비영리,목적의,예술공연"
공연장 대관 규정,제15조-2,대관료 감면 — GS칼텍스재단이 주최(주관)하는 비영리 목적의 예술,"GS칼텍스재단이 주최(주관)하는 비영리 목적의 예술공연
(공연장 대관 규정 제15조 대관료 감면 제2호)","대관료,감면,GS칼텍스재단이,주최,주관,하는,비영리,목적의,예술공연"
공연장 대관 규정,제15조-3,대관료 감면 — 국가 또는 전라남도가 주최(주관)하는 비영리 목적의,"국가 또는 전라남도가 주최(주관)하는 비영리 목적의 예술공연
(공연장 대관 규정 제15조 대관료 감면 제3호)","대관료,감면,국가,또는,전라남도가,주최,주관,하는,비영리,목적의,예술공연"
공연장 대관 규정,제15조-4,대관료 감면 — 시예산으로 운영되는 여수시립예술단의 예술공연,"시예산으로 운영되는 여수시립예술단의 예술공연
(공연장 대관 규정 제15조 대관료 감면 제4호)","대관료,감면,시예산으로,운영되는,여수시립예술단의,예술공연"
공연장 대관 규정,제15조-1,대관료 감면 — 여수시의 문화예술 보조금을 받은 비영리 목적의 예술,"여수시의 문화예술 보조금을 받은 비영리 목적의 예술공연
(공연장 대관 규정 제15조 대관료 감면 제1호)","대관료,감면,여수시의,문화예술,보조금을,받은,비영리,목적의,예술공연"
공연장 대관 규정,제15조-2,대관료 감면 — GS칼텍스재단이 후원(협찬)하는 비영리 목적의 예술,"GS칼텍스재단이 후원(협찬)하는 비영리 목적의 예술공연
(공연장 대관 규정 제15조 대관료 감면 제2호)","대관료,감면,GS칼텍스재단이,후원,협찬,하는,비영리,목적의,예술공연"
공연장 대관 규정,제15조-3,대관료 감면 — 국가 또는 전라남도의 문화예술 보조금을 받은 비영리,"국가 또는 전라남도의 문화예술 보조금을 받은 비영리 목적의 예술공연
(공연장 대관 규정 제15조 대관료 감면 제3호)","대관료,감면,국가,또는,전라남도의,문화예술,보조금을,받은,비영리,목적의,예술공연"
공연장 대관 규정,제16조,대관료 미납,"①제13조 제2항에 의거한 대관료 잔금을 납부하지 아니하면 계약금은 예울마루에 귀속
되고 대관은 자동 취소된 것으로 간주한다.
②대관 계약금 및 잔금 미납 시 제한 사항은 다음 각 호와 같다.
1.대관료 납부 완료 전에 티켓을 판매 하거나 판매를 의뢰할 수 없다.
2.본 규정에도 불구하고 티켓판매가 이루어질 경우 예울마루는 티켓판매 중지를 요청
할 수 있다.","대관료,미납"
공연장 대관 규정,제16조-1,대관료 미납 — 대관료 납부 완료 전에 티켓을 판매 하거나 판매를,"대관료 납부 완료 전에 티켓을 판매 하거나 판매를 의뢰할 수 없다.
(공연장 대관 규정 제16조 대관료 미납 제1호)","대관료,미납,납부,완료,전에,티켓을,판매,하거나,판매를,의뢰할,없다"
공연장 대관 규정,제16조-2,대관료 미납 — 본 규정에도 불구하고 티켓판매가 이루어질 경우 예울,"본 규정에도 불구하고 티켓판매가 이루어질 경우 예울마루는 티켓판매 중지를 요청 할 수 있다.
(공연장 대관 규정 제16조 대관료 미납 제2호)","대관료,미납,규정에도,불구하고,티켓판매가,이루어질,경우,예울마루는,티켓판매,중지를,요청,있다"
공연장 대관 규정,제17조,사용시간,"①예울마루 사용시간은 오전(09시~12시), 오후(13시~17시), 야간(18시~22
시), 철야(22시 이후)이며, 점심시간(12시~13시), 저녁시간(17시~18시)은 포함되지 
아니한다. 
②일정상 부득이하게 철야작업이 필요할 경우 예울마루와 협의하여야 하며, 철야대관료
를 3시간 단위로 추가납부 하여야 한다.
③공연은 1일1회를 기본으로 하되 예울마루와 협의하여 회차를 추가할 수 있으며 추가
대관료를 납부하여야 한다.",사용시간
공연장 대관 규정,제18조,스태프 회의,"①대관자는 무대 작업 일정, 무대기술 전반에 관한 사항, 부대시설 사용 내용을 결정하기 
위해 공연 준비기간 시작일보다 최소 7일 전까지 예울마루의 주관하에 예울마루의 
무대 스태프와 스태프 회의를 하여야 한다.
②예울마루의 스태프 회의 진행자는 회의를 통한 협의사항을 취합하여 ""회의록""을 작성
하고, 예울마루와 대관자 기명날인 후 각 1부씩 보관한다.","스태프,회의"
공연장 대관 규정,제19조,무대 안전 관리,"①대관자는 무대 작업에 앞서 실시하는 안전교육에 적극 참여하여야 한다.
②대관자는 무대 작업 및 공연 진행 시 무대 안전 수칙을 준수해야 하며, 각종 장치 
및 장비 설치는 예울마루 기술진의 감독 하에 작업해야 한다.
③예울마루는 무대 안전 관리를 위해 필요하다고 판단되는 경우 대관자나 특정인의 
백 스테이지 출입을 불허 또는 퇴장시킬 수 있다.","무대,안전,관리"
공연장 대관 규정,제20조,공연 진행 및 하우스 관리,"①원활한 공연 진행을 위해 대관자는 예울마루 무대감독과 하우스매니저의 협조 요청에 
적극적으로 응해야 한다.
②공연 진행과 관련하여 문제 발생 시 예울마루 무대감독 또는 하우스매니저는 공연 
시작을 지연하거나, 공연을 중지할 수 있다.
③예울마루는 공연 진행과 관련한 하우스 운영(객석 관리, 공연 진행, 안전 관리)을 
책임지며, 하우스매니저가 총괄 운영한다.
④예울마루의 품격 유지 및 원활한 공연장 진행을 위하여 반드시 예울마루가 권하는 
하우스 안내원을 사용하여야 한다.
⑤대관자는 로비 및 객석 내에서의 모든 활동에 관하여 하우스매니저와 사전에 협의
해야 한다.
⑥공연 장르에 따라 입장 연령을 조정하고자 할 경우 티켓 판매 개시 전 예울마루와 
협의해야 한다.
⑦예울마루는 다음 각 호에 해당하는 경우 대관자에게 관람자의 입장을 거절하게 하거나 
퇴장을 명하게 할 수 있다.
1.타인이 혐오할 만한 결함이 있거나 전염병 질환이 있는 자
2.만취자 및 무단출입자
3.타인에게 위협감을 주거나 또는 방해가 될 물품을 휴대한 자
4.예울마루의 검인이 없는 입장권을 소지한 자
5.기타 안전유지 및 공연 진행 상 필요하다고 인정되는 자","공연,진행,하우스,관리"
공연장 대관 규정,제20조-1,공연 진행 및 하우스 관리 — 타인이 혐오할 만한 결함이 있거나 전염병 질환이 있,"타인이 혐오할 만한 결함이 있거나 전염병 질환이 있는 자
(공연장 대관 규정 제20조 공연 진행 및 하우스 관리 제1호)","공연,진행,하우스,관리,타인이,혐오할,만한,결함이,있거나,전염병,질환이,있는"
공연장 대관 규정,제20조-2,공연 진행 및 하우스 관리 — 만취자 및 무단출입자,"만취자 및 무단출입자
(공연장 대관 규정 제20조 공연 진행 및 하우스 관리 제2호)","공연,진행,하우스,관리,만취자,무단출입자"
공연장 대관 규정,제20조-3,공연 진행 및 하우스 관리 — 타인에게 위협감을 주거나 또는 방해가 될 물품을 휴,"타인에게 위협감을 주거나 또는 방해가 될 물품을 휴대한 자
(공연장 대관 규정 제20조 공연 진행 및 하우스 관리 제3호)","공연,진행,하우스,관리,타인에게,위협감을,주거나,또는,방해가,물품을,휴대한"
공연장 대관 규정,제20조-4,공연 진행 및 하우스 관리 — 예울마루의 검인이 없는 입장권을 소지한 자,"예울마루의 검인이 없는 입장권을 소지한 자
(공연장 대관 규정 제20조 공연 진행 및 하우스 관리 제4호)","공연,진행,하우스,관리,예울마루의,검인이,없는,입장권을,소지한"
공연장 대관 규정,제20조-5,공연 진행 및 하우스 관리 — 기타 안전유지 및 공연 진행 상 필요하다고 인정되는,"기타 안전유지 및 공연 진행 상 필요하다고 인정되는 자
(공연장 대관 규정 제20조 공연 진행 및 하우스 관리 제5호)","공연,진행,하우스,관리,기타,안전유지,필요하다고,인정되는"
공연장 대관 규정,제21조,공연 내용 변경 및 일정 변경,"①대관자는 대관 신청 시 명시한 내용(공연명, 공연일정, 출연자, 공연내용, 주최자, 공연 
시간 등)에 따라 공연을 진행하여야 하며, 불가피한 사유로 이를 변경하고자 할 경우, 
사전에 예울마루의 승인을 받아야 한다. 
②대관일정 및 대관료 재 산출을 요하는 변경을 하는 경우 변경된 총 대관료의 10%를 
할증하여 납부하여야 한다. 단, 최초 대관 기한 내의 일정 변경은 할증을 부과하지 
아니한다.                      
③대관기간 일정이 시작된 후에는 사용하지 않은 대관기간이 발생하면 대관자는 취소 
신청을 하여야 하며, 이를 진행하지 않을 경우 계약서에 명기된 대관료를 전액 납부
하여야 한다.","공연,내용,변경,일정"
공연장 대관 규정,제22조,공연 취소 및 중지,"①대관자의 사정으로 공연이 취소되거나 중지될 경우, 대관자는 입장권의 교환과 환불, 
기타 입장권 구매자에 대한 책임을 부담한다.
②공연이 취소되거나 중단된 경우, 대관자가 납부한 대관료의 반환은 제14조를 준용
한다.
③천재지변으로 공연이 취소되거나 중지된 경우, 예울마루는 대관자에게 취소된 공연
에 대하여 납부된 대관료를 반환하고 대관자는 입장권의 교환과 환불 기타 입장권 구매자
에게 책임을 지는 이외에 상호 손해배상의 의무가 없다.","공연,취소,중지"
